AtomicNumber,AtomicSymbol,Element,AtomTup,OrbitalGroup,Protons,Neutrons,GroupNumber,Period,SlotNumber,SlotP,SlotN,SlotOrien,AlphaType,SlotX,SlotY,SlotZ,CanBind,SlotLayout,SL1,SL2,SL3,SL4
189,10,Ne,neon,"(' 10 neon Ne ', 10)",[He],10,10,18,2,19,0,0,H,0,0,0,0,N,,,,,
190,11,Na,sodium,"(' 11 sodium Na ', 11)",[Ne],11,12,1,3,1,0,0,H,2,0,0,0,N,,,,,
191,11,Na,sodium,"(' 11 sodium Na ', 11)",[Ne],11,12,1,3,2,0,0,V,2,0,0,0,N,,,| 14,,
192,11,Na,sodium,"(' 11 sodium Na ', 11)",[Ne],11,12,1,3,3,0,0,V,2,0,0,0,N,,,,,
193,11,Na,sodium,"(' 11 sodium Na ', 11)",[Ne],11,12,1,3,4,0,0,H,2,0,0,0,N,,,- 4,| 9,- 13
194,11,Na,sodium,"(' 11 sodium Na ', 11)",[Ne],11,12,1,3,5,0,0,H,2,0,0,0,N,,- 18,| 2,- 16,
195,11,Na,sodium,"(' 11 sodium Na ', 11)",[Ne],11,12,1,3,6,0,0,V,1,0,0,0,Y,- 10,| 6,- 1,| 7,- 12
196,11,Na,sodium,"(' 11 sodium Na ', 11)",[Ne],11,12,1,3,7,0,0,V,0,0,0,0,N,,- 17,| 3,- 19,
197,11,Na,sodium,"(' 11 sodium Na ', 11)",[Ne],11,12,1,3,8,0,0,V,0,0,0,0,N,- 11,| 8,- 5,,
198,11,Na,sodium,"(' 11 sodium Na ', 11)",[Ne],11,12,1,3,9,0,0,V,0,0,0,0,N,,,,,
199,11,Na,sodium,"(' 11 sodium Na ', 11)",[Ne],11,12,1,3,10,0,0,H,0,0,0,0,N,,,| 15,,
